dataset_index,display_no,article_id,title,media,pub_date,keyword,cluster,expected_type,current_prediction,triggered_rule,prediction_after_rule,correct_before,correct_after
0,1,3e5e0f6bc209,"니어솔루션, '2026 AI Korea 대전' 3년 연속 수상...WES 넘어 피지컬 AI로",전자신문,2026-07-22,AI 에이전트 기업,,보도자료형,보도자료형,,보도자료형,Y,Y
1,2,ce905364e770,"ARC리서치 ""나무기술, 구독 매출 비중 확대""",CSTIMES,2026-07-22,AI 에이전트 기업,,인터뷰,인터뷰,,인터뷰,Y,Y
2,3,82eae15f4c90,"삼성전자, 대표 직속 'RX사업추진실' 출범...세계 최고 '로봇 손' 탄생하...",EKOREANEWS,2026-07-22,AI 에이전트 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
3,4,4c6d5e1bf65f,"고성능 '프로' 대신 효율… 구글, '제미나이 플래시' 3종 공개",IT조선,2026-07-22,AI 에이전트 기업,,보도자료형,일반 기사,P2c,보도자료형,N,Y
4,5,f4b25ba09d26,"구글, 제미나이 '프로' 없이 '플래시' 모델들만 출시...'가성비' 전략",한국일보,2026-07-22,AI 에이전트 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
5,6,c97a3af599bf,"[신간] 황영오 박사 'AX 에이전트 경영', 한 달 만에 2쇄 돌입",BUSINESSKOREA,2026-07-22,AI 에이전트 기업,,보도자료형,보도자료형,,보도자료형,Y,Y
6,7,753dbab766da,"웹케시, ‘IBK 디지털뱅킹 리빌딩 1단계’ 사업 공급계약",디지털타임스,2026-07-22,AI 에이전트 기업,,보도자료형,보도자료형,,보도자료형,Y,Y
7,8,30c7eca1b167,[박나룡 보안칼럼] 외교부 해킹이 드러낸 국가 보안의 민낯,데일리시큐,2026-07-22,랜섬웨어 침해 사고,,기획·분석,기획·분석,,기획·분석,Y,Y
8,9,e05e3de8a2e9,"""해킹 공격자들은 늘 같은 곳을 노린다""...기업이 꼭 지켜야 할 보안 수...",TECHM,2026-07-22,랜섬웨어 침해 사고,,인터뷰,인터뷰,,인터뷰,Y,Y
9,10,aefe2b60954e,"해킹은 진화하는데 방어 체계는 여전...KISA ""공격 동선 따라 보안체계...",TECHM,2026-07-22,랜섬웨어 침해 사고,,인터뷰,인터뷰,,인터뷰,Y,Y
10,11,be5662117c85,"AI가 AI를 공격하는 시대, 'AI 하네스' 세대교체 진행중",데이터넷,2026-07-21,랜섬웨어 침해 사고,,일반 기사,일반 기사,,일반 기사,Y,Y
11,12,0f99fe6ac112,"SGA솔루션즈, 호남 중소기업 PC 보안 지원…악성코드·패치 관리 제공",WIDEDAILY,2026-07-21,랜섬웨어 침해 사고,,보도자료형,일반 기사,P2a,보도자료형,N,Y
12,13,635078083631,"AI가 AI를 해킹했다…허깅페이스, 자율 AI 에이전트 공격 받아",데일리시큐,2026-07-20,랜섬웨어 침해 사고,,일반 기사,일반 기사,,일반 기사,Y,Y
13,14,9c1d635742b6,"[사례연구] 금융 A사, 시큐아이 MDR 서비스로 보안 체계 고도화",데이터넷,2026-07-20,랜섬웨어 침해 사고,,기획·분석,기획·분석,,기획·분석,Y,Y
14,15,ced46d558f40,"한국타이어, AI 상담 서비스 ‘티봇’ 론칭 프로모션",BUSAN,2026-07-22,AX 디지털전환 기업,,보도자료형,보도자료형,,보도자료형,Y,Y
15,16,328904b55d13,"충주시, 제조 AX 거점 조성 피지컬AI 생태계 초석 다져",CCREVIEW,2026-07-22,AX 디지털전환 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
16,17,a88d73748626,"카카오엔터프라이즈, 이재한 신임 대표 내정…이원주 대표 사퇴",VIEW,2026-07-22,AX 디지털전환 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
17,18,0c6e7c461cf7,부울경 수출기업 만난 윤진식 회장 “美 비자 개선 계속 건의”,BIZ,2026-07-22,AX 디지털전환 기업,,인터뷰,인터뷰,,인터뷰,Y,Y
18,19,b785ef4f6919,"윤진식 무협 회장 ""美 비자 개선·AX 전환 지원 강화""…부울경 수출기업...",이투데이,2026-07-22,AX 디지털전환 기업,,인터뷰,인터뷰,,인터뷰,Y,Y
19,20,38ed7f369f36,"중기중앙회, '2026년 제1차 식품산업위원회' 개최",PINPOINTNEWS,2026-07-22,AX 디지털전환 기업,,보도자료형,일반 기사,P2b,보도자료형,N,Y
20,21,58ca4c7bff4b,"'K-디스플레이 2026' 개막…삼성·LG 총출동, AI 품은 OLED 한곳에",SHINAILBO,2026-07-22,AX 디지털전환 기업,,행사·현장,행사·현장,,행사·현장,Y,Y
21,22,6e175fb2e9f6,"삼성디스플레이, AI 비전 'O.P.E.N.' 공개… ""엔비디아 협력해 자율공장...",DDAILY,2026-07-22,AX 디지털전환 기업,,인터뷰,보도자료형,,보도자료형,N,N
22,23,70eb9844230a,"[보안 칼럼] AI를 빠르게 도입할수록, 아무것도 믿지 말아야 하는 이유",데일리시큐,2026-07-22,클라우드 보안 취약점,,기획·분석,기획·분석,,기획·분석,Y,Y
23,24,42558f66013b,"구글도 사이버 보안 전용 모델 첫 출시...""미소스의 가성비 대안""",AI타임스,2026-07-22,클라우드 보안 취약점,,인터뷰,일반 기사,,일반 기사,N,N
24,25,105a130cac8a,"아이티언, '인그레스 투 엔지에프' 선봬…NGINX 인그레스 종료 대응 지원",KOIT,2026-07-22,클라우드 보안 취약점,,보도자료형,보도자료형,,보도자료형,Y,Y
25,26,9b901f03f514,"AI스페라, '크리미널 IP' PCI DSS 최고 등급 4년 연속 인증 유지",데이터넷,2026-07-22,클라우드 보안 취약점,,일반 기사,일반 기사,,일반 기사,Y,Y
26,27,6d82dba08290,"구글, 제미나이 경량모델 3종 출시···'프로'는 미공개",SISAJOURNAL-E,2026-07-22,클라우드 보안 취약점,,보도자료형,보도자료형,,보도자료형,Y,Y
27,28,5d2575006453,"휴네시온, N2SF·SBOM 사업 잇달아 참여…공공 보안 레퍼런스 확대",데이터넷,2026-07-22,클라우드 보안 취약점,,일반 기사,일반 기사,,일반 기사,Y,Y
28,29,ccd6cef188a8,[Global Security TOP 100] 이동범 지니언스 대표 “국민훈장 영광 동시에...,보안뉴스,2026-07-22,클라우드 보안 취약점,,인터뷰,인터뷰,,인터뷰,Y,Y
29,30,742dcb6587d5,"클루커스, Straiker와 전략적 파트너십 체결…국내 에이전틱 AI 보안 시장...",전자신문,2026-07-22,클라우드 보안 취약점,,보도자료형,보도자료형,,보도자료형,Y,Y
30,31,420e05e75ab4,"인엠스, '엑시오 VPN Edge·Axio VPN Server' 조달청 등록…”김승태 부사...",THEPOWERNEWS,2026-07-20,Microsoft 라이선스 IT솔루션,cluster_inaims_procurement,인터뷰,인터뷰,,인터뷰,Y,Y
31,32,21254d8033e4,"인엠스, '엑시오 VPN Edge·Axio VPN Server' 조달등록 완료",E2NEWS,2026-07-20,Microsoft 라이선스 IT솔루션,cluster_inaims_procurement,보도자료형,보도자료형,,보도자료형,Y,Y
32,33,d3dfb60573d2,"RSA, 생성형 AI 보안 위협 대응 위한 'RSA ID Plus' 패스워드리스 인증 강...",LIVESNEWS,2026-07-22,제로트러스트 보안 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
33,34,61222d94c791,"KT, 18조 투자 'AX 플랫폼 기업' 대 전환. AI 데이터센터 용량 대폭 확충",AUTODAILY,2026-07-22,제로트러스트 보안 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
34,35,92158441cff6,"RSA, AI 업무 환경 겨냥 'RSA ID Plus' 패스워드리스 인증 솔루션 제안",HINEWS,2026-07-22,제로트러스트 보안 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
35,36,30a3a2354a78,"시큐리티플랫폼, 제로트러스트 영상보안으로 공공시장 공략 확대",IT비즈뉴스,2026-07-22,제로트러스트 보안 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
36,37,3ee50034f404,'휴먼 코드' 고른 정재헌 CEO...사람·조직에서 시작한 SKT의 AI 전환,INSIGHT,2026-07-22,제로트러스트 보안 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
37,38,ab3610b89dd3,"KDI ""10년후 AI로 年일자리 25.6만개 감소…개인 매출은 20% 향상""",SEOULECONEWS,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,인터뷰,,인터뷰,Y,Y
38,39,6d9ae42c7313,HD현대 AI 전략 가속…조선소에서 항로까지 연결,POINTDAILY,2026-07-22,생성형 AI 도입 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
39,40,c3141c180122,"""AI 도입으로 10년 후 일자리 연간 25만개 이상 감소""...KDI, 전문직 사무...",BEYONDPOST,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,인터뷰,,인터뷰,Y,Y
40,41,d26b28d608bb,"김용범 ""AI는 이제 기본권...현금 나누는 복지 아니야""",ECONOVILL,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,인터뷰,,인터뷰,Y,Y
41,42,6e626a197091,"KDI ""AI로 10년 뒤 일자리 25.6만 개 감소...생산성은 향상""",YTN,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,인터뷰,,인터뷰,Y,Y
42,43,26da8f257641,"AI가 캠페인 기획·발송까지… 인비토, ‘한국형 Braze’ 한줄로AI 출시",VENTURESQUARE,2026-07-22,생성형 AI 도입 기업,,보도자료형,일반 기사,P2d,보도자료형,N,Y
43,44,937c116b0c9c,"KDI ""AI 확산 10년 뒤 연간 일자리 25.6만개 감소…생산성은 향상""",TJB,2026-07-22,생성형 AI 도입 기업,cluster_kdi_ai_employment,인터뷰,인터뷰,,인터뷰,Y,Y
44,45,e5d4fc5b4755,"미래에셋생명, 공덕시대 개막… '한국형 버크셔 해서웨이' 전략 속도낸...",S-JOURNAL,2026-07-22,생성형 AI 도입 기업,,일반 기사,일반 기사,,일반 기사,Y,Y
